company,owner,city,state,nmls,email,phone,website,license_type,verification_status,verified_at,source_name,source_url,specialties,signal,team,hiring,status,verification_notes
Leverage Lending Group LLC,,Charlotte,NC,,,(704) 631-9276,https://lendwithleverage.com/,Mortgage broker,Needs verification,2026-07-28,Company website,https://lendwithleverage.com/,Purchase; refinance,Verified Public Web,0,0,New,Public business information; company NMLS not confirmed from source reviewed.
Mecklenburg Mortgage,,Charlotte,NC,1190352,info@mecklenburgmortgage.com,(704) 412-9131,https://mecklenburgmortgage.com/,Mortgage broker,Needs verification,2026-07-28,Company website,https://mecklenburgmortgage.com/,Mortgage brokerage; purchase; refinance,Verified Public Web,0,0,New,Public business information; verify current license and wholesale eligibility before outreach.
Premier Lending Inc.,,Charlotte,NC,238143,info@premierlending.com,(844) 773-6137,https://premierlending.com/,Mortgage broker and lender,Needs verification,2026-07-28,Company website,https://premierlending.com/,Purchase; refinance,Verified Public Web,0,0,New,Public business information; verify broker channel and current license before outreach.
Quail Hollow Financial Services,,Charlotte,NC,,,,https://quailhollowfinancial.com/,Mortgage broker,Needs verification,2026-07-28,Public company website / official public page,https://quailhollowfinancial.com/service-area/charlotte-nc/,Purchase; refinance; tailored mortgage solutions,Verified Public Web,0,0,New,"Public business information. Verify current licensing, broker channel eligibility, and contact details before outreach."
Martini Mortgage Group,Kevin Martini,Raleigh,NC,,Logan@MartiniMortgageGroup.com,(919) 238-4934,https://martinimortgagegroup.com/,Mortgage broker,Needs verification,2026-07-28,Public company website / official public page,https://martinimortgagegroup.com/loan-options/dscr-loan/,DSCR; purchase; refinance; investor loans,Verified Public Web,0,0,New,"Public business information. Verify current licensing, broker channel eligibility, and contact details before outreach."
PrimeLending - Raleigh,,Raleigh,NC,246147,,919-783-7890,https://lo.primelending.com/raleigh/contact,Mortgage lender,Needs verification,2026-07-28,Public company website / official public page,https://lo.primelending.com/raleigh/contact,Purchase; refinance; government lending,Verified Public Web,0,0,New,"Public business information. Verify current licensing, broker channel eligibility, and contact details before outreach."
Raleigh Mortgage Group Inc.,,Raleigh,NC,69573,,919-866-0212,https://www.raleighmortgagegroup.com/,Mortgage broker,Needs verification,2026-07-28,Company website,https://www.raleighmortgagegroup.com/mortgage-broker-charlotte-nc/,FHA; VA; jumbo; refinance,VA/FHA Fit,0,0,New,Public business information; verify current licensing and ownership.
ASCEND Lending USA LLC,,Greenville,SC,2506419,,,https://www.ascendlending.net/,Mortgage broker,Needs verification,2026-07-28,Company website,https://www.ascendlending.net/loan-officer-directory/cindy-ward,South Carolina; Georgia,Verified Public Web,0,0,New,Public business licensing disclosure; verify current company contact details.
Best Life Mortgage Advisor,,Greenville,SC,1921643,,,https://bestlifemortgage.com/,Mortgage broker,Needs verification,2026-07-28,Company website,https://bestlifemortgage.com/,Purchase; refinance,Verified Public Web,0,0,New,Public business information; phone and email not captured from reviewed page.
Lennar Mortgage - Greenville,,Greenville,SC,2306440,,(864) 214-4123,https://www.lennarmortgage.com/greenville,Mortgage lender,Needs verification,2026-07-28,Public company website / official public page,https://www.lennarmortgage.com/greenville,Purchase; new construction; conventional; government,Verified Public Web,0,0,New,"Public business information. Verify current licensing, broker channel eligibility, and contact details before outreach."
Upstate Mortgage,,Greenville,SC,,,,https://upstatemortgage.com/,Mortgage broker,Needs verification,2026-07-28,Company website,https://upstatemortgage.com/about-us/,South Carolina statewide; purchase; refinance,Verified Public Web,0,0,New,Public site states licensed and bonded mortgage broker since 1993; verify NMLS and contact details.
Home Loans Inc,Jason Sharon,North Charleston,SC,1728740,,843-LOW-RATE,https://www.homeloansinc.com/,Mortgage broker,Needs verification,2026-07-28,Public company website / official public page,https://www.homeloansinc.com/,VA; FHA; USDA; HELOC; DSCR; conventional,Verified Public Web,0,0,New,"Public business information. Verify current licensing, broker channel eligibility, and contact details before outreach."
Motto Mortgage Thrive,Jenna Richardson,North Charleston,SC,2481020,jenna.richardson@mottomortgage.com,(843) 900-7212,https://mottomortgage.com/offices/thrives-north-charleston/jenna-richardson,Mortgage broker,Needs verification,2026-07-28,Public company website / official public page,https://mottomortgage.com/offices/thrives-north-charleston/jenna-richardson,Mortgage brokerage; purchase; refinance,Verified Public Web,0,0,New,"Public business information. Verify current licensing, broker channel eligibility, and contact details before outreach."
Lending Hand Mortgage LLC,Kevin Kenerson,Nashville,TN,152227,admin@lhmtg.com,(615) 859-5363,https://lhmtg.com/,Mortgage broker,Needs verification,2026-07-28,Company website,https://lhmtg.com/,VA; FHA; USDA; conventional; multi-state,VA/FHA Fit,0,0,New,Public company and team information; verify current license and ownership.
First Meridian Mortgage Corporation,,Fairfax,VA,,,(703) 799-5626,https://firstmeridianmortgage.com/,Mortgage company,Needs verification,2026-07-28,Company website,https://firstmeridianmortgage.com/,VA; FHA; Maryland; DC,VA/FHA Fit,0,0,New,Public business information; verify broker status and current licensing.
